E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
1126.9 1,5/2-,1045.2 2,16 4,E 2,,,
1126.9 1,5/2-,1045.2 2,32 8,E 2,,,
1126.9 1,5/2-,1057.3 2,100 26,E 2,,,
1126.9 1,5/2-,1057.3 2,89 26,E 2,,,
1126.9 1,5/2-,1057.3 2,16 4,E 2,,,
1126.9 1,5/2-,1057.3 2,32 8,E 2,,,
1126.9 1,5/2-,1127.0 2,100 26,E 2,,,
1126.9 1,5/2-,1127.0 2,89 26,E 2,,,
1126.9 1,5/2-,1127.0 2,16 4,E 2,,,
1126.9 1,5/2-,1127.0 2,32 8,E 2,,,
1192.6 2,3/2-,995.4 2,88 24,E 2,,,
1192.6 2,3/2-,995.4 2,100 29,E 2,,,
1192.6 2,3/2-,1085.5 2,88 24,E 2,,,
1192.6 2,3/2-,1085.5 2,100 29,E 2,,,
1192.6 2,2-May,995.4 2,88 24,E 2,,,
1192.6 2,2-May,995.4 2,100 29,E 2,,,
1192.6 2,2-May,1085.5 2,88 24,E 2,,,
1192.6 2,2-May,1085.5 2,100 29,E 2,,,
1192.6 2,2-Jul,995.4 2,88 24,E 2,,,
1192.6 2,2-Jul,995.4 2,100 29,E 2,,,
1192.6 2,2-Jul,1085.5 2,88 24,E 2,,,
1192.6 2,2-Jul,1085.5 2,100 29,E 2,,,
1208.4 3,(15/2+),130.2 3,100 38,E 2,,,
1208.4 3,(15/2+),130.2 3,≤38,E 2,,,
1208.4 3,(15/2+),130.2 3,≤38,E 2,,,
1208.4 3,(15/2+),504.2 3,100 38,E 2,,,
1208.4 3,(15/2+),504.2 3,≤38,E 2,,,
1208.4 3,(15/2+),504.2 3,≤38,E 2,,,
1208.4 3,(15/2+),641 1 ?,100 38,E 2,,,
1208.4 3,(15/2+),641 1 ?,≤38,E 2,,,
1208.4 3,(15/2+),641 1 ?,≤38,E 2,,,
1225.8 3,(19/2-),223.2 3,16 5,E 2,,,
1225.8 3,(19/2-),223.2 3,16 5,E 2,,,
1225.8 3,(19/2-),223.2 3,100.0 15,E 2,,,
1225.8 3,(19/2-),223.2 3,100.0 15,E 2,,,
1225.8 3,(19/2-),428.3 3,16 5,E 2,,,
1225.8 3,(19/2-),428.3 3,16 5,E 2,,,
1225.8 3,(19/2-),428.3 3,100.0 15,E 2,,,
1225.8 3,(19/2-),428.3 3,100.0 15,E 2,,,
1248.5 1,7/2-,739.6 4,≈19,E 2,,,
1248.5 1,7/2-,739.6 4,13 3,E 2,,,
1248.5 1,7/2-,739.6 4,100 25,E 2,,,
1248.5 1,7/2-,739.6 4,16 4,E 2,,,
1248.5 1,7/2-,739.6 4,47 13,E 2,,,
1248.5 1,7/2-,986.5 2,≈19,E 2,,,
1248.5 1,7/2-,986.5 2,13 3,E 2,,,
1248.5 1,7/2-,986.5 2,100 25,E 2,,,
1248.5 1,7/2-,986.5 2,16 4,E 2,,,
1248.5 1,7/2-,986.5 2,47 13,E 2,,,
1248.5 1,7/2-,1006.6 2,≈19,E 2,,,
1248.5 1,7/2-,1006.6 2,13 3,E 2,,,
1248.5 1,7/2-,1006.6 2,100 25,E 2,,,
1248.5 1,7/2-,1006.6 2,16 4,E 2,,,
1248.5 1,7/2-,1006.6 2,47 13,E 2,,,
1248.5 1,7/2-,1166.9 2,≈19,E 2,,,
1248.5 1,7/2-,1166.9 2,13 3,E 2,,,
1248.5 1,7/2-,1166.9 2,100 25,E 2,,,
1248.5 1,7/2-,1166.9 2,16 4,E 2,,,
1248.5 1,7/2-,1166.9 2,47 13,E 2,,,
1248.5 1,7/2-,1178.7 2,≈19,E 2,,,
1248.5 1,7/2-,1178.7 2,13 3,E 2,,,
1248.5 1,7/2-,1178.7 2,100 25,E 2,,,
1248.5 1,7/2-,1178.7 2,16 4,E 2,,,
1248.5 1,7/2-,1178.7 2,47 13,E 2,,,
1294.4 4,19/2-,400 1,≤2.6,E 2,,,
1294.4 4,19/2-,400 1,100.0 15,E 2,,,
1294.4 4,19/2-,432.2 3,≤2.6,E 2,,,
1294.4 4,19/2-,432.2 3,100.0 15,E 2,,,
1317.5 4,23/2+,257.5 3,19.5 24,E 2,,,
1317.5 4,23/2+,257.5 3,100 5,E 2,,,
1317.5 4,23/2+,421.5 3,19.5 24,E 2,,,
1317.5 4,23/2+,421.5 3,100 5,E 2,,,
1330.5 4,21/2-,435.4 3,100 0,E 2,,,
1355.2 3,(17/2+),146.8 3,87 78,E 2,,,
